offset,offset_hex,value,value_hex,count,frequency,varying_global,group_counts
152,0x0098,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
152,0x0098,117,0x75,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
154,0x009A,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
154,0x009A,114,0x72,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
156,0x009C,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
156,0x009C,99,0x63,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
158,0x009E,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
158,0x009E,101,0x65,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
162,0x00A2,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
162,0x00A2,87,0x57,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
